X,Y,OBJECTID,STATUS,NAME,ACISA,ISNUM,INT_,STAGE,N7,SECT,COMMCAB,COMMLINE,SWITCH,FDRPAIR,VPAIR,TRUNK,TRNKPAIR,DIST,DISTPAIR,SUBFEED,SUBFEEDPR,CHANNUM,COMMENTS,REVNUM,CONT_TYPE,SPACE_,B,TSNUM,QUICNETID
-77.087851958827144,38.959131355648346,1001,M,"WESTERN AVE AND GEICO ENTRANCE, NW",6145,1250,1250,5, ,685,12-F12I,623,3,"PR(03,04)",12,050-T12,"PR(42,43)", , ,25-F12H,"PR(07,08)",18, ,3,INTERVAL, , , ,1304
-77.087585717423266,38.959369373566396,1002,M,"WESTERN AVE AND JENIFER ST, NW",6146,1251,1251,5, ,685,12-F12I,623,4,"PR(03,04)",12,050-T12,"PR(42,43)", , ,25-F12H,"PR(07,08)",18, ,2,INTERVAL, , , ,1305
-77.08374018370769,38.962319144493769,1003,M,"WESTERN AVE AND LISNER HOME ENT, NW",6147,1287,0,0, ,685,12-F12I,622,7,"PR(01,02)",12,050-T12,"PR(40,41)", , ,25-F12H,"PR(05,06)",17, ,0,INTERVAL, , , ,1343
-77.07816708263357,38.966709184904985,1004,M,"WESTERN AVE AND OLIVER ST, NW",6148,1252,1252,5, ,687,12-F13E,630,6,"PR(07,08)",12,100-T13,"PR(32,33)", , , , ,12, ,0,INTERVAL, , , ,1341
-77.091249199442103,38.956484557048796,1005,M,"WESTERN AVE AND RIVER RD, NW",6149,1253,1253,5, ,685,12-F12I,623,5,"PR(03,04)",12,050-T12,"PR(42,43)", , ,25-F12H,"PR(07,08)",18, ,2,INTERVAL, , , ,1306
-77.085734974372542,38.960790006074021,1006,M,WESTERN AVE AND WISCONSIN & MILITAR,6150,1254,1254,5, ,685,12-F12I,623,6,"PR(03,04)",12,050-T12,"PR(42,43)", , ,25-F12H,"PR(07,08)",18, ,0,INTERVAL, , , ,1307
-77.084633890590837,38.961656628201581,1007,M,"WESTERN AVE AND WISCONSIN CIRCLE, N",6151,1290,0,0, ,685,12-F12I,622,6,"PR(01,02)",12,050-T12,"PR(40,41)", , ,25-F12H,"PR(05,06)",17, ,0,ACTUATED, , , ,1345
-77.085299839378237,38.961126449568326,1008,M,"WESTERN AVENUE AND MILITARY ROAD, N",6152,1353,0,0, ,685,12-F12I,623,7,"PR(03,04)",12,050-T12,"PR(42,43)", , ,25-F12H,"PR(07,08)",18, ,1,INTERVAL, , , ,1354
-76.989486493115123,38.833469999842109,1009,M,"WHEELER RD AND BARNABY ST, SE",6153,1084,1084,4, ,462,12-F08Q,445,2,"PR(05,06)",12,100-T08,"PR(82,83)",50-D08M,"PR(07,08)",25-F08P,"PR(07,08)",31, ,0,INTERVAL, , , ,909
-76.993564917977395,38.838812311338273,1010,M,"WHEELER RD AND MISSISSIPPI AVE, SE",6154,1085,1085,4, ,462,12-F08Q,445,3,"PR(05,06)",12,100-T08,"PR(82,83)",50-D08M,"PR(07,08)",25-F08P,"PR(07,08)",31, ,0,INTERVAL, , , ,910
-76.987328362450882,38.832116624354981,1011,M,"WHEELER RD AND SOUTHERN AVE, SE",6155,1086,1086,4, ,462,12-F08Q,445,4,"PR(05,06)",12,100-T08,"PR(82,83)",50-D08M,"PR(07,08)",25-F08P,"PR(07,08)",31, ,2,INTERVAL, , , ,911
-76.993199641523049,38.836715122214265,1012,M,"WHEELER RD AND VALLEY AVE, SE",6156,1087,1087,4, ,462,12-F08Q,445,5,"PR(05,06)",12,100-T08,"PR(82,83)",50-D08M,"PR(07,08)",25-F08P,"PR(07,08)",31, ,0,INTERVAL, , , ,912
-76.990820377952218,38.834346869824927,1013,M,"WHEELER RD AND WAHLER PL, SE",6157,1088,1088,4, ,462,12-F08Q,445,6,"PR(05,06)",12,100-T08,"PR(82,83)",50-D08M,"PR(07,08)",25-F08P,"PR(07,08)",31, ,1,INTERVAL, , , ,913
-77.076001238767432,38.941316185285068,1014,M,WISC AVE & FRIENDSHIP PO (3900 WISC,6158,1262,1262,5, ,685,25-F12H,620,1,"PR(01,02)",25,050-T12,"PR(36,37)", , ,25-F12H,"PR(01,02)",15, ,4,ACTUATED, , , ,1315
-77.068754355207602,38.916973504359419,1015,M,"WISC AVE & WHITEHAVEN ST, WHTHVEN P",6159,1279,1279,5, ,691,12-F12D,613,6,"PR(03,04)",12,050-T12,"PR(15,16)", , , , ,8, ,0,INTERVAL, , , ,1332
-77.080400826327391,38.949692534736123,1016,M,"WISCONSIN AVE AND BRANDYWINE ST, NW",6203,1256,1256,5, ,685,12-F12I,622,1,"PR(01,02)",12,050-T12,"PR(40,41)", , ,25-F12H,"PR(05,06)",17, ,0,INTERVAL, , , ,1309
-77.07290958258595,38.922551286081813,1017,M,WISCONSIN AVE AND CALVERT ST & 37 S,6205,1257,1257,5, ,691,12-F12D,613,2,"PR(03,04)",12,050-T12,"PR(15,16)", , , , ,8, ,1,INTERVAL, , , ,1310
-77.081286986963974,38.952073980924219,1018,M,"WISCONSIN AVE AND DAVENPORT ST, NW",6234,1258,1258,5, ,685,12-F12I,622,2,"PR(01,02)",12,050-T12,"PR(40,41)", , ,25-F12H,"PR(05,06)",17, ,0,INTERVAL, , , ,1311
-77.063450145225616,38.907616440869234,1019,M,WISCONSIN AVE AND DUMBARTON ST & O,6235,1259,1259,5, ,691,12-F12D,612,2,"PR(01,02)",12,050-T12,"PR(13,14)", , , , ,7, ,1,INTERVAL, , , ,1312
-77.073190631904367,38.92470382965049,1020,M,"WISCONSIN AVE AND EDMUNDS ST, NW",6236,1260,1260,5, ,691,12-F12D,613,3,"PR(03,04)",12,050-T12,"PR(15,16)", , , , ,8, ,1,ACTUATED, , , ,1313
-77.082634057116152,38.954708136819804,1021,M,"WISCONSIN AVE AND FESSENDEN ST, NW",6237,1261,1261,5, ,685,12-F12I,622,3,"PR(01,02)",12,050-T12,"PR(40,41)", , ,25-F12H,"PR(05,06)",17, ,1,INTERVAL, , , ,1314
-77.073191925195218,38.92753676534776,1022,M,"WISCONSIN AVE AND GARFIELD ST, NW",6238,1263,1263,5, ,689,12-F12D,614,4,"PR(05,06)",12,050-T12,"PR(17,18)", , , , ,9, ,3,INTERVAL, , , ,1316
-77.071437435436252,38.920142017153864,1023,M,"WISCONSIN AVE AND HALL PL, NW",6239,1264,1264,5, ,691,12-F12D,613,4,"PR(03,04)",12,050-T12,"PR(15,16)", , , , ,8, ,0,INTERVAL, , , ,1317
-77.083819683072946,38.957031696620462,1024,M,"WISCONSIN AVE AND HARRISON ST, NW",6240,1265,1265,5, ,685,12-F12I,622,4,"PR(01,02)",12,050-T12,"PR(40,41)", , ,25-F12H,"PR(05,06)",17, ,0,INTERVAL, , , ,1318
-77.084848453574708,38.959048806108861,1025,M,"WISCONSIN AVE AND JENIFER ST, NW",6241,1266,1266,5, ,685,12-F12I,622,5,"PR(01,02)",12,050-T12,"PR(40,41)", , ,25-F12H,"PR(05,06)",17, ,2,INTERVAL, , , ,1319
-77.062813781043417,38.905184412576652,1026,M,"WISCONSIN AVE AND M ST, NW",6242,1267,1267,5, ,693,12-F12A,606,5,"PR(01,02)",12,050-T12,"PR(01,02)", , , , ,1, ,3,INTERVAL, , , ,1320
-77.072417443305852,38.933491742466359,1027,M,"WISCONSIN AVE AND MACOMB ST, NW",6243,1268,1268,5, ,685,25-F12H,620,2,"PR(01,02)",25,050-T12,"PR(36,37)", , ,25-F12H,"PR(01,02)",15, ,2,INTERVAL, , , ,1321
-77.073164204068547,38.928619041886407,1028,M,WISCONSIN AVE AND MASSACHUSETTS AVE,6243,1269,1269,5, ,689,12-F12D,614,5,"PR(05,06)",12,050-T12,"PR(17,18)", , , , ,9, ,1,INTERVAL, , , ,1322
-77.063038785741696,38.906832630752554,1029,M,"WISCONSIN AVE AND N ST, NW",6244,1270,1270,5, ,691,12-F12D,612,3,"PR(01,02)",12,050-T12,"PR(13,14)", , , , ,7, ,1,INTERVAL, , , ,1323
